3817481 DEBUG [2019-06-30 09:26:54]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
3817482 DEBUG [2019-06-30 09:26:54]  Returning [org.springframework.web.servlet.view.InternalResourceView: name '/organization/company/companyUpdate'; URL [/WEB-INF/View//organization/company/companyUpdate.jsp]] based on requested media type 'text/html'
3817482 DEBUG [2019-06-30 09:26:54]  Rendering view [org.springframework.web.servlet.view.InternalResourceView: name '/organization/company/companyUpdate'; URL [/WEB-INF/View//organization/company/companyUpdate.jsp]] in DispatcherServlet with name 'dispatcherServlet'
3817482 DEBUG [2019-06-30 09:26:54]  Forwarding to resource [/WEB-INF/View//organization/company/companyUpdate.jsp] in InternalResourceView '/organization/company/companyUpdate'
3817575 DEBUG [2019-06-30 09:26:55]  Successfully completed request
3817575 DEBUG [2019-06-30 09:26:55]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3820053 DEBUG [2019-06-30 09:26:57]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3820054 DEBUG [2019-06-30 09:26:57]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/updateACompany]
3820054 DEBUG [2019-06-30 09:26:57]  Looking up handler method for path /organization/company/updateACompany
3820055 DEBUG [2019-06-30 09:26:57]  Returning handler method [public void com.ehr.controller.organization.company.CompanyController.updateACompany(java.lang.Integer,java.lang.String,java.lang.String,java.lang.String)]
3820055 DEBUG [2019-06-30 09:26:57]  Returning cached instance of singleton bean 'companyController'
3820055 DEBUG [2019-06-30 09:26:57]  Skip CORS processing: request is from same origin
3820056 DEBUG [2019-06-30 09:26:57]  Fetching JDBC Connection from DataSource
3820099 DEBUG [2019-06-30 09:26:57]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3820099 DEBUG [2019-06-30 09:26:57]  Successfully completed request
3820099 DEBUG [2019-06-30 09:26:57]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3821081 DEBUG [2019-06-30 09:26:58]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3821081 DEBUG [2019-06-30 09:26:58]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/companyListPage]
3821081 DEBUG [2019-06-30 09:26:58]  Looking up handler method for path /organization/company/companyListPage
3821082 DEBUG [2019-06-30 09:26:58]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.companyListPage(java.lang.Integer,java.lang.Integer)]
3821082 DEBUG [2019-06-30 09:26:58]  Returning cached instance of singleton bean 'companyController'
3821082 DEBUG [2019-06-30 09:26:58]  Skip CORS processing: request is from same origin
3821082 DEBUG [2019-06-30 09:26:58]  Fetching JDBC Connection from DataSource
3821085 DEBUG [2019-06-30 09:26:58]  Fetching JDBC Connection from DataSource
